"neighborhood","code_description"
"Logan Square","Handling and storage of material susceptible to becoming windborne"
"Auburn Gresham","Handling and storage of material susceptible to becoming windborne"
"Near West Side","Construction site cleanliness"
"Near West Side","Construction site cleanliness"
"West Lawn","Handling and storage of material susceptible to becoming windborne"
"Lower West Side","Treatment and disposal of solid or liquid waste"
"Lower West Side","Treatment and disposal of solid or liquid waste"
"Uptown","Construction site cleanliness"
"Logan Square","Handling and storage of material susceptible to becoming windborne"
"Roseland","Construction site cleanliness"
"Austin","Treatment and disposal of solid or liquid waste"
"West Lawn","Construction site cleanliness"
"Grand Boulevard","Treatment and disposal of solid or liquid waste"
"West Town","Construction site cleanliness"
"East Garfield Park","Treatment and disposal of solid or liquid waste"
"Near South Side","Certificate of operation requiered"
"Englewood","Treatment and disposal of solid or liquid waste"
"Englewood","Treatment and disposal of solid or liquid waste"
"Englewood","Treatment and disposal of solid or liquid waste"
"Englewood","Treatment and disposal of solid or liquid waste"
"Pullman","Handling and storage of material susceptible to becoming windborne"
"Hyde Park","Handling and storage of material susceptible to becoming windborne"
"South Deering","Handling and storage of material susceptible to becoming windborne"
"Washington Park","Construction site cleanliness"
"Greater Grand Crossing","Construction site cleanliness"
"Logan Square","Construction site cleanliness"
"Logan Square","Construction site cleanliness"
"Greater Grand Crossing","Construction site cleanliness"
"Greater Grand Crossing","Construction site cleanliness"
"New City","Treatment and disposal of solid or liquid waste"
"South Deering","Handling and storage of material susceptible to becoming windborne"
"South Deering","Treatment and disposal of solid or liquid waste"
"South Deering","Handling and storage of material susceptible to becoming windborne"
"Near West Side","Handling and storage of material susceptible to becoming windborne"
"Near West Side","Construction site cleanliness"
"Near West Side","Construction site cleanliness"
"East Garfield Park","Treatment and disposal of solid or liquid waste"
"Lower West Side","Handling and storage of material susceptible to becoming windborne"
"West Ridge","Handling and storage of material susceptible to becoming windborne"
"Ashburn","Certificate of operation requiered"
"Archer Heights","Certificate of operation requiered"
"Washington Heights","Certificate of operation requiered"
"Auburn Gresham","Certificate of operation requiered"
"Archer Heights","Certificate of operation requiered"
"West Englewood","Handling and storage of material susceptible to becoming windborne"
"Auburn Gresham","Construction site cleanliness"
"New City","Certificate of operation requiered"
"South Deering","Handling and storage of material susceptible to becoming windborne"
"Avondale","Certificate of operation requiered"
"Portage Park","Certificate of operation requiered"
"South Shore","Certificate of operation requiered"
"Austin","Certificate of operation requiered"
"West Englewood","Certificate of operation requiered"
"Garfield Ridge","Certificate of operation requiered"
"West Englewood","Certificate of operation requiered"
"Edgewater","Certificate of operation requiered"
"West Englewood","Certificate of operation requiered"
"Austin","Certificate of operation requiered"
"Washington Heights","Certificate of operation requiered"
"Portage Park","Certificate of operation requiered"
"West Garfield Park","Certificate of operation requiered"
"Greater Grand Crossing","Certificate of operation requiered"
"Chatham","Certificate of operation requiered"
"Logan Square","Construction site cleanliness"
"Logan Square","Construction site cleanliness"
"North Center","Certificate of operation requiered"
"Clearing","Certificate of operation requiered"
"Near West Side","Certificate of operation requiered"
"Logan Square","Certificate of operation requiered"
"Gage Park","Certificate of operation requiered"
"Brighton Park","Certificate of operation requiered"
"Logan Square","Certificate of operation requiered"
"Norwood Park","Certificate of operation requiered"
"Washington Heights","Certificate of operation requiered"
